parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0806910,1.0,280.0,6.2,70.0
tt0806910,1.0,396.0,5.9,45.0
tt0159876,,,8.4,486.0
tt0086765,3.0,18.0,7.3,567.0
tt0092455,5.0,1.0,8.4,3866.0
tt0806910,1.0,397.0,7.0,97.0
tt0806910,1.0,121.0,6.2,35.0
tt0106179,1.0,1.0,8.2,14019.0
tt0806910,1.0,309.0,6.2,74.0
tt0364151,7.0,1.0,8.1,87.0
tt0806910,1.0,398.0,6.3,120.0
tt0096708,3.0,3.0,6.9,1159.0
tt0806910,1.0,399.0,7.2,56.0
tt0159876,26.0,2.0,7.5,34.0
tt0806910,1.0,400.0,7.3,106.0
tt0806910,1.0,136.0,5.5,46.0
tt0096697,7.0,6.0,8.7,4343.0
tt0159876,1.0,3.0,8.5,61.0
tt0806910,1.0,401.0,5.2,29.0
tt6677224,1.0,4.0,7.1,788.0
tt6677224,1.0,5.0,7.4,717.0
tt6677224,1.0,7.0,7.1,704.0
tt6677224,1.0,8.0,7.2,697.0
tt6677224,1.0,2.0,7.1,806.0
tt6677224,1.0,6.0,7.1,777.0
tt0806910,1.0,315.0,6.0,50.0
tt0806910,1.0,141.0,5.6,38.0
tt0364151,5.0,5.0,7.8,145.0
tt0046593,7.0,7.0,7.6,35.0
tt0159876,,,8.7,86.0
tt0806910,1.0,145.0,5.6,43.0
tt0364151,14.0,1.0,7.6,394.0
tt0159876,27.0,7.0,7.6,85.0
tt0806910,1.0,7.0,7.1,107.0
tt0094525,6.0,2.0,7.7,2326.0
tt0094525,6.0,3.0,7.8,2358.0
tt0094525,4.0,3.0,7.7,2127.0
tt0094525,2.0,1.0,8.1,2629.0
tt0806910,1.0,402.0,5.7,28.0
tt0806910,1.0,127.0,5.1,37.0
tt0806910,1.0,94.0,6.2,74.0
tt0806910,1.0,403.0,6.3,127.0
tt0806910,1.0,213.0,5.5,27.0
tt0364151,5.0,8.0,7.4,124.0
tt0806910,1.0,218.0,5.0,36.0
tt0806910,1.0,405.0,6.1,34.0
tt0806910,1.0,404.0,7.0,83.0
tt0364151,4.0,5.0,6.6,124.0
tt0806910,1.0,316.0,6.0,52.0
tt0159876,3.0,30.0,8.6,72.0
tt0187636,1.0,1.0,8.0,4114.0
tt0806910,1.0,406.0,6.1,180.0
tt0806910,1.0,313.0,5.7,55.0
tt0046593,24.0,17.0,6.2,48.0
